,nominees,details,imdb_urls,award_show,year,award,winner,ref_year
0,Viola Davis,The Help,https://www.imdb.com//name/nm0205626/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Leading Role,1,9
1,Glenn Close,Albert Nobbs,https://www.imdb.com//name/nm0000335/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Leading Role,0,9
2,Meryl Streep,The Iron Lady,https://www.imdb.com//name/nm0000658/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Leading Role,0,9
3,Michelle Williams,My Week with Marilyn,https://www.imdb.com//name/nm0931329/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Leading Role,0,9
4,Tilda Swinton,We Need to Talk About Kevin,https://www.imdb.com//name/nm0842770/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Leading Role,0,9
0,Christopher Plummer,Beginners,https://www.imdb.com//name/nm0001626/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Supporting Role,1,9
1,Armie Hammer,J. Edgar,https://www.imdb.com//name/nm2309517/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Supporting Role,0,9
2,Jonah Hill,Moneyball,https://www.imdb.com//name/nm1706767/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Supporting Role,0,9
3,Kenneth Branagh,My Week with Marilyn,https://www.imdb.com//name/nm0000110/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Supporting Role,0,9
4,Nick Nolte,Warrior,https://www.imdb.com//name/nm0000560/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Supporting Role,0,9
0,Octavia Spencer,The Help,https://www.imdb.com//name/nm0818055/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Supporting Role,1,9
1,Bérénice Bejo,The Artist,https://www.imdb.com//name/nm0067367/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Supporting Role,0,9
2,Janet McTeer,Albert Nobbs,https://www.imdb.com//name/nm0005216/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Supporting Role,0,9
3,Jessica Chastain,The Help,https://www.imdb.com//name/nm1567113/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Supporting Role,0,9
4,Melissa McCarthy,Bridesmaids,https://www.imdb.com//name/nm0565250/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Supporting Role,0,9
0,Modern Family,"Aubrey Anderson-Emmons, Julie Bowen, Ty Burrell, Jesse Tyler Ferguson, Nolan Gould, Sarah Hyland, Ed O'Neill, Rico Rodriguez, Eric Stonestreet, Sofía Vergara, Ariel Winter",https://www.imdb.com//title/tt1442437/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Comedy Series,1,9
1,30 Rock,"Scott Adsit, Alec Baldwin, Katrina Bowden, Kevin Brown, Grizz Chapman, Tina Fey, Judah Friedlander, Jane Krakowski, John Lutz, Jack McBrayer, Tracy Morgan, Maulik Pancholy, Keith Powell",https://www.imdb.com//title/tt0496424/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Comedy Series,0,9
2,Glee,"Dianna Agron, Chris Colfer, Darren Criss, Ashley Fink, Dot-Marie Jones, Jane Lynch, Jayma Mays, Kevin McHale, Lea Michele, Cory Monteith, Heather Morris, Matthew Morrison, Mike O'Malley, Chord Overstreet, Lauren Potter, Amber Riley, Naya Rivera, Mark Salling, Harry Shum Jr., Iqbal Theba, Jenna Ushkowitz",https://www.imdb.com//title/tt1327801/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Comedy Series,0,9
3,The Big Bang Theory,"Mayim Bialik, Kaley Cuoco, Johnny Galecki, Simon Helberg, Kunal Nayyar, Jim Parsons, Melissa Rauch",https://www.imdb.com//title/tt0898266/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Comedy Series,0,9
4,The Office,"Leslie David Baker, Brian Baumgartner, Creed Bratton, Steve Carell, Jenna Fischer, Kate Flannery, Ed Helms, Mindy Kaling, Ellie Kemper, Angela Kinsey, John Krasinski, Paul Lieberstein, B.J. Novak, Oscar Nuñez, Craig Robinson, James Spader, Phyllis Smith, Rainn Wilson, Zach Woods",https://www.imdb.com//title/tt0386676/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Comedy Series,0,9
0,Boardwalk Empire,"Steve Buscemi, Dominic Chianese, Robert Clohessy, Dabney Coleman, Charlie Cox, Josie Gallina, Lucy Gallina, Stephen Graham, Jack Huston, Anthony Laciura, Heather Lind, Kelly Macdonald, Rory McTigue, Declan McTigue, Gretchen Mol, Brady Noon, Connor Noon, Kevin O'Rourke, Aleksa Palladino, Jacqueline Pennewill, Vincent Piazza, Michael Pitt, Michael Shannon, Paul Sparks, Michael Stuhlbarg, Peter Van Wagner, Shea Whigham, Michael Kenneth Williams, Anatol Yusef",https://www.imdb.com//title/tt0979432/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Drama Series,1,9
1,Breaking Bad,"Jonathan Banks, Betsy Brandt, Ray Campbell, Bryan Cranston, Giancarlo Esposito, Anna Gunn, RJ Mitte, Dean Norris, Bob Odenkirk, Aaron Paul",https://www.imdb.com//title/tt0903747/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Drama Series,0,9
2,Dexter,"Billy Brown, Jennifer Carpenter, Josh Cooke, Aimee Garcia, Michael C. Hall, Colin Hanks, Desmond Harrington, Rya Kihlstedt, C.S. Lee, Edward James Olmos, James Remar, Luna Lauren Velez, David Zayas",https://www.imdb.com//title/tt0773262/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Drama Series,0,9
3,Game of Thrones,"Amrita Acharia, Mark Addy, Alfie Allen, Josef Altin, Sean Bean, Susan Brown, Emilia Clarke, Nikolaj Coster-Waldau, Peter Dinklage, Ron Donachie, Michelle Fairley, Jerome Flynn, Elyes Gabel, Aidan Gillen, Jack Gleeson, Iain Glen, Julian Glover, Kit Harington, Lena Headey, Isaac Hempstead Wright, Conleth Hill, Richard Madden, Jason Momoa, Rory McCann, Ian McElhinney, Luke Barnes, Roxanne McKee, Dar Salim, Mark Stanley, Donald Sumpter, Sophie Turner, Maisie Williams",https://www.imdb.com//title/tt0944947/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Drama Series,0,9
4,The Good Wife,"Christine Baranski, Josh Charles, Alan Cumming, Matt Czuchry, Julianna Margulies, Chris Noth, Archie Panjabi, Graham Phillips, Makenzie Vega",https://www.imdb.com//title/tt1442462/?ref_=ev_nom,SAG,2012,Outstanding Performance by an Ensemble in a Drama Series,0,9
0,Alec Baldwin,30 Rock,https://www.imdb.com//name/nm0000285/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Comedy Series,1,9
1,Eric Stonestreet,Modern Family,https://www.imdb.com//name/nm0832314/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Comedy Series,0,9
2,Jon Cryer,Two and a Half Men,https://www.imdb.com//name/nm0001083/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Comedy Series,0,9
3,Steve Carell,The Office,https://www.imdb.com//name/nm0136797/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Comedy Series,0,9
4,Ty Burrell,Modern Family,https://www.imdb.com//name/nm0123092/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Comedy Series,0,9
0,Betty White,Hot in Cleveland,https://www.imdb.com//name/nm0924508/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Comedy Series,1,9
1,Edie Falco,Nurse Jackie,https://www.imdb.com//name/nm0004908/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Comedy Series,0,9
2,Julie Bowen,Modern Family,https://www.imdb.com//name/nm0100866/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Comedy Series,0,9
3,Sofía Vergara,Modern Family,https://www.imdb.com//name/nm0005527/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Comedy Series,0,9
4,Tina Fey,30 Rock,https://www.imdb.com//name/nm0275486/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Comedy Series,0,9
0,Steve Buscemi,Boardwalk Empire,https://www.imdb.com//name/nm0000114/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Drama Series,1,9
1,Bryan Cranston,Breaking Bad,https://www.imdb.com//name/nm0186505/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Drama Series,0,9
2,Kyle Chandler,Friday Night Lights,https://www.imdb.com//name/nm0151419/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Drama Series,0,9
3,Michael C. Hall,Dexter,https://www.imdb.com//name/nm0355910/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Drama Series,0,9
4,Patrick J. Adams,Suits,https://www.imdb.com//name/nm1140666/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Drama Series,0,9
0,Jessica Lange,American Horror Story,https://www.imdb.com//name/nm0001448/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Drama Series,1,9
1,Glenn Close,Damages,https://www.imdb.com//name/nm0000335/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Drama Series,0,9
2,Julianna Margulies,The Good Wife,https://www.imdb.com//name/nm0000523/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Drama Series,0,9
3,Kathy Bates,Harry's Law,https://www.imdb.com//name/nm0000870/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Drama Series,0,9
4,Kyra Sedgwick,The Closer,https://www.imdb.com//name/nm0001718/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Drama Series,0,9
0,Paul Giamatti,Too Big to Fail,https://www.imdb.com//name/nm0316079/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,1,9
1,Greg Kinnear,The Kennedys,https://www.imdb.com//name/nm0001427/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,0,9
2,Guy Pearce,Mildred Pierce,https://www.imdb.com//name/nm0001602/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,0,9
3,James Woods,Too Big to Fail,https://www.imdb.com//name/nm0000249/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,0,9
4,Laurence Fishburne,Thurgood,https://www.imdb.com//name/nm0000401/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,0,9
0,Kate Winslet,Mildred Pierce,https://www.imdb.com//name/nm0000701/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,1,9
1,Betty White,The Lost Valentine,https://www.imdb.com//name/nm0924508/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,0,9
2,Diane Lane,Cinema Verite,https://www.imdb.com//name/nm0000178/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,0,9
3,Emily Watson,Appropriate Adult,https://www.imdb.com//name/nm0001833/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,0,9
4,Maggie Smith,Downton Abbey,https://www.imdb.com//name/nm0001749/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,0,9
0,Harry Potter and the Deathly Hallows: Part 2,"Lucy Allen, Mark Archer, Nina Armstrong, Gary Arthurs, Helen Steinway Bailey, Nellie Burroughes, Richard Bradshaw, Adam Brashaw, Michael Byrch, Bruce Cain, Annabel Canaven, Marc Cass, Nick Chopping, Jonathan Cohen, David Cronnelly, Talila Craig, Graeme Crowther, Clive Curtis, Nicholas Daines, Ray De-Haan, Sam Dent, Jim Dowdall, Tracey Eddon, Jamie Edgell, Rick English, Bradley Farmer, Dave Fisher, Pete Ford, Elaine Ford, Amanda Foster, Sarah Franzl, Grace Franzl, Aldonio Danny Frietas, James Grogan, Calvin Warrington-Heasman, Nick Hobbs, Bobby Holland Hanton, David Holmes, Rob Hunt, Eunice Huthart, Rob Inch, Rowley Irlam, Ian Kay, Tolga Kenan, Mike Lambert, Derek Lea, Maurice Lee, Nicholas Lewis, Paul Lowe, Tony Lucken, Marc Mailley, Kai Martin, Tina Maskell, Jo McLaren, Kim McGarrity, Nick McKinless, Russell MacLeod, Peter Miles, Lee Millham, Jamie Millington, Sian Milne, Mark Mottram, Daniel Naprous, David Newton, Brian Nickels, James O'Donnell, Justin Pearson, Peter Pedrero, Andy Pilgrim, Chris Pollard, Mike Potter, Greg Powell, Tilly Powell, Dominic Preece, Kierron Quest, Alison Ryan, Marcus Shakesheff, C.C. Smiff, Marvin Campbell, Matthew Stirling, Ryan Stuart, Roy Taylor, Rocky Taylor, Tony Van Silva, Andy Wareham, Marlow Warrington-Mattei, Reg Wayment, Bill Weston, Maxine Whittaker, Peter White, Jason White, Joanna Whitney, Martin Wilde, Donna Williams, Lewis Young",https://www.imdb.com//title/tt1201607/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Motion Picture,1,9
1,Cowboys & Aliens,"Bobby Aldridge, J.C. Augare, James Augare, Brian Brown, William Paul Brown, Richard Bucher, Chris Carlson, Craig Conaway, Ben Cooke, Jonathan Crazybull, Jeffrey J. Dashnaw, Jeffrey J. Dashnaw, Danny Edmo, Daniel Forcey, Todd Forsberg, Ramon Frank, Sean Rowdy Gardner, Derek Graf, Tad Griffith, Michael Hansen, Ryan Happy, Thomas Robinson Harper, Riley Harper, Will Harper, Gray Wolf Herrera, Freddie Hice, Cassidy Hice, Dylan Hice, Robert Jauregui, Shawn Jenkins, Shawn Kautz, Rob King, Derek Lacasa, Shawn Patrick Lane, Malosi Leonard, Matt Leonard, Alvin William 'Dutch' Lunak, Benny Manning, Cliff McLaughlin, Greg Miller, Heidi Moneymaker, Matthew Moss, Casey O'Neill, K.C. Peterson, Ed Pinkard, Blake Pocquette, James Pratt, Pat Ricotti, Erin Ricotti, Jason Rodriguez, Rod Rondeaux, David Schultz, Wesley Scott, Kyle Segura, Doug Snively, Coy Speer, Cody Thornbury, Devan Torres, Steve Upton, Aaron Walters, Mike Watson, Scott Wilder, Keith Woulard, Danny Wynands",https://www.imdb.com//title/tt0409847/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Motion Picture,0,9
2,The Adjustment Bureau,"G.A. Aguilar, Jill Brown, Aja Frary, John Cenatiempo, Blaise Corrigan, William Cote, Stephen A. Pope, Aaron Vexler",https://www.imdb.com//title/tt1385826/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Motion Picture,0,9
3,Transformers: Dark of the Moon,"Terry Ahue, Robert Alonzo, Hank Amos, Daniel Arrias, Brian Avery, Dean Bailey, Matt Baker, Ted Barba, Simone Bargetze, Perry Barndt, Kenny Bates, Gary Baxley, Dickey Beer, Pete Bianco, Phil Blackaby, Paul Borne, Julian Boulle, Eddie Braun, Jon Braver, Ben Hernandez Bray, Bob Brown, Jeff Bruno, Kurt Bryant, David Anthony Buglione, Robert Sean Burke, Stacey Carino, Ariel M. Carlson, Chris Carnel, Jay Carrado, Mario Carter, Kevin Cassidy, Steve Chang, Alex Chansky, Brian Christensen, Ann Coccagnia, Brycen Counts, Aaron Crippen, Clay Cullen (as Peter Cullen), Jahnel Curfman, Max Daniels, Tobiasz Daszkiewicz, Steve M. Davison, Kevin Derr, Jon Devore, Jamal Duff, Zack Duhame, Steve DuMouchel, Chris Durand, Justin Eaton, Eyad Elbitar, Paul Eliopoulos, Tom Erickson, Corey Michael Eubanks, Andy Farrington, Dane Farwell, James Fierro, Sierra Fisk, Brent Fletcher, Colin Follenweider, Kevin Foster, Michael Franck, Mikal Vega (as Dave Fritsch), Chris Gann, Aaron Garrido, Mark Ginther, Jessie Graff, Charles Grisham, Craig Gubert, Michael Hansen, Gene Hartline, Tom Harper, William Haze (as William Hasenzahl), Jay Hawkins, Nikki Hester-Jose, Michael Hilow, Steve Holladay, J.T. Holmes, Natascha Hopkins, Chris Howell, Lisa Hoyle, David Hugghins, Michael Hugghins, Harry Humphries, David Hutchison, Precious Jenkins (as Preshas Jenkins), Michael B. Johnson, Josh Kallenberg, Jeri Habberstad (as Jeri Kalvan), Michael Kase, Steve Kelso, Josh Kemble, Hubie Kerns Jr., Dorian Kingi, Henry Kingi, Mandy Kowalski, Cody Bo Kruger, Kevin LaRosa, Matthew LeFevour, Shawn Patrick Lane, Cedric N. Lee, Jean Claude Leuyer, Brock Little, Frank Lloyd, Tom Lowell, Jess Lundgren, Diana R. Lupo, Tom Lupo, Brett Lynch, Shanna Lynn, Alex Madison, Mike Majesky, Daniel Maldonado, Peter Mandel, Justin Mann, Bob Marrocco, Eddie Matthews, Matt McBride, Brad McCabe, Tony McFarr, Charles McGraw, Cole S. McKay, Cliff McLaughlin, Tom McMurtry, J. Travis Merendino, Natalie M. Meyer, Rick Miller, Matthew Moss, Marty Murray, Robert Nagle, Dean Napolitano, Carl Anthony Nespoli, Frédéric North, Casey O'Neill, Michael Owen, Ho-Sung Pak, Conrad E. Palmisano, Carl Paoli, Heidi Pascoe, Scott Paulson, Anthony Pavelich, Monte Rex Perlin, Scott Philyaw, Denney Pierce, Gábor Piroch, Randy Peters, Alan D. Purwin, Jade Quon, Rex Reddick, Suzanne Reed, Tanoai Reed, Simon Rhee, Jimmy N. Roberts, Shawn Robinson, Troy Robinson, Scott C. Roe, Laurence Todd Rosenthal, Jean Paul Ruggiero, Rich Rutherford, Sean C. Ryan, Michael J. Sarna, Gaylynn Schmidt, Brian Searle, Tina Sen Gordon, Aaron Matthews, Todd Shoebotham, Ray Siegle, Karin Silvestri, Brian Simpson, Ben Skorstad, Russell Solberg, Kevin Sorensen, Monica Staggs, Jim Stephan, Eric Stratemeier, Lance Strumpf, Bobby Stuart, Justin Sundquist, Mike Swanson, C.C. Taylor, Jim Teachout, Nancy Thurston, Michael Trisler, Steve Upton, David Urich, Greg Urich, Alicia Vela-Bailey, Tom Vicini (as Gaetano Vicini), Banzai Vitale, Mark Aaron Wagner, Shelly Ward, Garrett Warren, James D. Weston II, Amber Whelan, Rich Wilkie, Morgan Williams, Stuart F. Wilson, Newton Wimer, Scott Workman, Danny Wynands, Eddie Yansick, Merritt Yohnka, America Young, Alvin Zalamea, Matthew Zolan",https://www.imdb.com//title/tt1399103/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Motion Picture,0,9
4,X-Men: First Class,"Kevin Abercrombie, Matt Baker, Max Bellissimo, Brent Bernhard, Joey Box, Jake Brake, Chris Brewster, Dan Brown, Max Calder, Keith Campbell, Mark Chadwick, Alex Chansky, Jennifer Cobb, George Cottle, Brycen Counts, Eddie Davenport, Greg Dela Riva, Kevin Derr, Thomas Dewier, Jacob Dewitt, Holland Diaz, Zack Duhame, Andy Dylan, Logan Erickson, Mark Fichera, Cliff Fleming, Cory Fleming, Colin Follenweider, Kevin Foster, Duffy Gaver, Mark Ginther, Jessie Graff, Dante Ha, Jeff Habberstad, Trevor Habberstad, Greg Harris, Adam Hart, Randy Haynie, Sy Hollands, Terry Jackson, Clint Jones, Keone Kim, Bobby C. King, Jess King, Adam Kirley, Theo Kypri, Jake Lombard, David Major, Johnny Martin, Michael McGuire, Sean Morrissey, Frédéric North, Chris O'Hara, Mark Rayner, Spiro Razatos, Justin Riemer, Jimmy N. Roberts, Dan Rudert, Tracey Ruggiero, Myke Schwartz, Ben Scott, Diz Sharpe, Larry M. Shorts, Philip J Silvera, Brian Simpson, Brett Smrz, Brian Smrz, Tom Struthers, Mallory Thompson, Frank Torres, Alicia Vela-Bailey, Lee Waddell, Mark Aaron Wagner, Garrett Warren, Chrissy Weathersby Ball, Kyle Weishaar, Roger Yuan",https://www.imdb.com//title/tt1270798/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Motion Picture,0,9
0,Game of Thrones,"Asen Asenov, Ferenc Berecz, Talila Craig, Matt Da Silva, Balázs Farkas, Dave Fisher, Richard Hansen, Paul Jennings, Laszlo Kosa, Géza Kovács, Norbert Kovács, Balazs Lengyel, Paul Lowe, Lubomir Misak, Brian Nickels, James O'Donnell, Domonkos Pardanyi, Buster Reeves, Amie Stephenson, Gáspár Szabó",https://www.imdb.com//title/tt0944947/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Television Series,1,9
1,Dexter,"Tammie Baird, Wally Crowder, Shawn Crowder",https://www.imdb.com//title/tt0773262/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Television Series,0,9
2,Southland,"Brian Avery, Julie Michaels, Conrad E. Palmisano, Peewee Piemonte, Harry Wowchuk",https://www.imdb.com//title/tt1299368/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Television Series,0,9
3,Spartacus: Gods of the Arena,"Tyrone Bell, Mana Hira Davis, Shane Dawson, Clint Elvy, Adrian McGaw, Allan Poppleton, Shane Rangi, Vincent Roxburgh, Paul Shapcott, Erika Takacs, Jacob Tomuri, Raicho Vasilev, Graham Vincent, Tim Wong",https://www.imdb.com//title/tt1758429/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Television Series,0,9
4,True Blood,"Stella Angelova, Charlie Brewer, Tamiko Brownlee, Kevin Derr, Michael Gaines, Jack Gill, Jason Gray, Jessica Harbeck, Mike Massa, Crystal Michelle, Heidi Pascoe, Con Schell, Mark Aaron Wagner, Josh Wood",https://www.imdb.com//title/tt0844441/?ref_=ev_nom,SAG,2012,Outstanding Performance by a Stunt Ensemble in a Television Series,0,9
0,Game of Thrones,,https://www.imdb.com//title/tt0944947/?ref_=ev_nom,SAG,2012,Outstanding Action Performance by a Stunt Ensemble in a Television Series,1,9
0,The King's Speech,"Anthony Andrews, Helena Bonham Carter, Jennifer Ehle, Colin Firth, Michael Gambon, Derek Jacobi, Guy Pearce, Geoffrey Rush, Timothy Spall",https://www.imdb.com//title/tt1504320/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Cast in a Motion Picture,1,10
1,Black Swan,"Vincent Cassel, Barbara Hershey, Mila Kunis, Natalie Portman, Winona Ryder",https://www.imdb.com//title/tt0947798/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Cast in a Motion Picture,0,10
2,The Fighter,"Amy Adams, Christian Bale, Melissa Leo, Jack McGee, Mark Wahlberg",https://www.imdb.com//title/tt0964517/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Cast in a Motion Picture,0,10
3,The Kids Are All Right,"Annette Bening, Josh Hutcherson, Julianne Moore, Mark Ruffalo, Mia Wasikowska",https://www.imdb.com//title/tt0842926/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Cast in a Motion Picture,0,10
4,The Social Network,"Jesse Eisenberg, Andrew Garfield, Armie Hammer, Max Minghella, Josh Pence, Justin Timberlake",https://www.imdb.com//title/tt1285016/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Cast in a Motion Picture,0,10
0,Colin Firth,The King's Speech,https://www.imdb.com//name/nm0000147/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Leading Role,1,10
1,James Franco,127 Hours,https://www.imdb.com//name/nm0290556/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Leading Role,0,10
2,Jeff Bridges,True Grit,https://www.imdb.com//name/nm0000313/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Leading Role,0,10
3,Jesse Eisenberg,The Social Network,https://www.imdb.com//name/nm0251986/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Leading Role,0,10
4,Robert Duvall,Get Low,https://www.imdb.com//name/nm0000380/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Leading Role,0,10
0,Natalie Portman,Black Swan,https://www.imdb.com//name/nm0000204/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Leading Role,1,10
1,Annette Bening,The Kids Are All Right,https://www.imdb.com//name/nm0000906/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Leading Role,0,10
2,Hilary Swank,Conviction,https://www.imdb.com//name/nm0005476/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Leading Role,0,10
3,Jennifer Lawrence,Winter's Bone,https://www.imdb.com//name/nm2225369/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Leading Role,0,10
4,Nicole Kidman,Rabbit Hole,https://www.imdb.com//name/nm0000173/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Leading Role,0,10
0,Christian Bale,The Fighter,https://www.imdb.com//name/nm0000288/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Supporting Role,1,10
1,Geoffrey Rush,The King's Speech,https://www.imdb.com//name/nm0001691/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Supporting Role,0,10
2,Jeremy Renner,The Town,https://www.imdb.com//name/nm0719637/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Supporting Role,0,10
3,John Hawkes,Winter's Bone,https://www.imdb.com//name/nm0370035/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Supporting Role,0,10
4,Mark Ruffalo,The Kids Are All Right,https://www.imdb.com//name/nm0749263/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Male Actor in a Supporting Role,0,10
0,Melissa Leo,The Fighter,https://www.imdb.com//name/nm0502425/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Supporting Role,1,10
1,Amy Adams,The Fighter,https://www.imdb.com//name/nm0010736/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Supporting Role,0,10
2,Hailee Steinfeld,True Grit,https://www.imdb.com//name/nm2794962/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Supporting Role,0,10
3,Helena Bonham Carter,The King's Speech,https://www.imdb.com//name/nm0000307/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Supporting Role,0,10
4,Mila Kunis,Black Swan,https://www.imdb.com//name/nm0005109/?ref_=ev_nom,SAG,2011,Outstanding Performance by a Female Actor in a Supporting Role,0,10
0,Modern Family,"Ed O'Neill, Sofía Vergara, Jesse Tyler Ferguson, Eric Stonestreet, Nolan Gould, Ariel Winter, Ty Burrell, Julie Bowen, Sarah Hyland, Rico Rodriguez",https://www.imdb.com//title/tt1442437/?ref_=ev_nom,SAG,2011,Outstanding Performance by an Ensemble in a Comedy Series,1,10
1,30 Rock,"Scott Adsit, Alec Baldwin, Katrina Bowden, Kevin Brown, Grizz Chapman, Tina Fey, Judah Friedlander, Jane Krakowski, John Lutz, Jack McBrayer, Tracy Morgan, Maulik Pancholy, Keith Powell",https://www.imdb.com//title/tt0496424/?ref_=ev_nom,SAG,2011,Outstanding Performance by an Ensemble in a Comedy Series,0,10
2,Glee,"Max Adler, Dianna Agron, Chris Colfer, Jane Lynch, Jayma Mays, Kevin McHale, Lea Michele, Cory Monteith, Heather Morris, Matthew Morrison, Mike O'Malley, Chord Overstreet, Amber Riley, Naya Rivera, Mark Salling, Harry Shum Jr., Iqbal Theba, Jenna Ushkowitz",https://www.imdb.com//title/tt1327801/?ref_=ev_nom,SAG,2011,Outstanding Performance by an Ensemble in a Comedy Series,0,10
